id,name,categories,price,weight
a44e6660-5d74-480d-9f0c-c984b3448c18,Clear Latex Balloons Swirly Scrolls | Pack of 6 | Party Decor,Toys & Games | Party Supplies | Balloons,25379.63,0.32
6a30f17c-43c1-43a8-b2f8-86df9b2fe0f5,"Forum Novelties Deluxe Designer Collection Flower Power Costume, Child Medium",Toys & Games | Party Supplies,49217246.72,11.2
278bfb4d-da11-465e-8664-25868b754b24,"Team Associated 80938 RC8T3.1E Off Road Truggy Team Kit, 1/8 Scale, 4WD Electric",Toys & Games | Hobbies | Remote & App Controlled Vehicles & Parts | Remote & App Controlled Vehicles | Crawlers,586.49,7.65
009ed098-cbb5-48a2-a73b-9e040a3943ca,Funko Pop! Animation: Scooby Doo- Shaggy with Sandwich,,6.5,5.6
3e9e675f-af29-44e4-8af1-811aaa89c357,"Sonic Collector Series 3"" Figure Pack",Toys & Games | Toy Figures & Playsets | Action Figures,24.39,7.0
80e92f70-fe6a-46d6-967e-c637b1d8a85b,VIRO Rides VR 230 Attitude Stunt Scooter (Teal),"Sports & Outdoors | Outdoor Recreation | Skates, Skateboards & Scooters | Scooters & Equipment | Scooters | Kick Scooters",50.79,7.8
3a132483-a04d-4d50-974b-2447ba1b43c1,Panini - 2015-2016 NBA Sticker Collection - Album,Baby Products | Nursery | Décor | Wall Décor | Stickers,11.97,5.6
42d8c339-cdf1-4ed4-9501-9df947b8d64b,Sun-Staches Costume Sunglasses Rugrats Tommy Party Favors UV400,"Clothing, Shoes & Jewelry | Costumes & Accessories | Kids & Baby | Boys | Accessories",55135.9,2.08
a60b806d-58d8-4f5e-8500-d100831879a0,"ROYAL BRUSH 8.75 by 11.75-Inch Junior Paint by Number Kit, Small, Reflections",Toys & Games | Arts & Crafts | Craft Kits | Paint-By-Number Kits,7.77,
92f01134-a74d-4453-9111-2d0b8175b44f,Doll Bike Seat Carrier for Baby Dolls & American Girl Dolls with Doll Helmet & Stickers. No Tools Required Bicycle & Scooters Seat Accessories for Dolls,Toys & Games | Dolls & Accessories | Dolls,56457.77,15.2
c352d058-d7c3-44fe-a3a7-e72e9afd6398,"Epic Skates Epic Princess Twilight Indoor/Outdoor Quad Roller Skates, White/Pink, Youth 2","Sports & Outdoors | Outdoor Recreation | Skates, Skateboards & Scooters | Inline & Roller Skating | Roller Skates",512043.1,5.55
49380a93-3ea5-4169-bdd0-e0f42ade5686,"MightySkins Skin Compatible with Razor A2 Kick Scooter - Digital Camo | Protective, Durable, and Unique Vinyl Decal wrap Cover | Easy to Apply, Remove, and Change Styles | Made in The USA","Sports & Outdoors | Outdoor Recreation | Skates, Skateboards & Scooters | Scooters & Equipment | Accessories",19.99,0.96
18b3a619-95e4-457e-a78f-86c9d5cc1666,"Baby Alive Step ‘N Giggle Baby Blonde Hair Boy Doll with Light-Up Shoes, Responds with 25+ Sounds & Phrases, Drinks & Wets, Toy for Kids Ages 3 Years Old & Up",Toys & Games | Dolls & Accessories | Dolls,56975.89,1.6
6f5b0527-2ab7-4311-a88a-bce4b4175847,"Hygloss Products, Inc Kids Unscented Dazzlin’ Modeling Play Dough One, 6 Pack, 3lb, 6 Asst'd Colors",Toys & Games | Arts & Crafts | Clay & Dough,80566.57,19.93
cf59bbdf-134d-45b4-834e-1ff8e7be86c0,Star Wars Womens Darth Vader Costume,"Clothing, Shoes & Jewelry | Costumes & Accessories | Women | Costumes & Cosplay Apparel | Costumes",32.85,1.04
3868b525-5205-4529-8efc-c0a14fecb70d,"Bandai Hobby MG Gundam Kai Model Kit (1/100 Scale), Astray Red Frame",Toys & Games | Hobbies | Models & Model Kits | Model Kits | Figure Kits,56.75,2.05
955d368e-b871-4cf2-8cc3-df384cdf9204,Constructive Playthings CPX-291 Raffi Library Set of 5 CDs,Toys & Games | Kids' Electronics,7.99,1.0
d13288fd-8834-4ccd-9c49-a76ce2b2029a,"Berenguer Boutique 15"" Soft Body Baby Doll - Blue 10 Piece Gift Set with Open/Close Eyes- Perfect for Children 2+",Toys & Games | Dolls & Accessories | Dolls,24.49,1.95
8f3c8455-ac76-48a8-b130-457d0642d951,"Corolle Mon Premier Poupon 12"" Panda Party Pajamas Toy Baby Doll",Toys & Games | Dolls & Accessories | Dolls,19.99,2.88
0d7fd323-b12a-4d08-a47e-d44db8c6fe0a,"Metallic Red Mardi Gras Beads, 4ct",Toys & Games | Party Supplies | Party Favors,5.99,2.4
c17fe741-2093-40f2-a913-9bff70a7c39e,"Learning Resources Primary Science Deluxe Lab Set, Science Kit, 45 Piece Set, Ages 3+",Toys & Games | Learning & Education,12.91,3.9
563ccf21-a404-436e-ae23-816bf0256da0,Forum Novelties Baby Boy's Plush Cuddlee Gorilla Costume,"Clothing, Shoes & Jewelry | Costumes & Accessories | Kids & Baby | Baby | Baby Boys",21.72,1.1
940afdc4-5c43-468c-968b-ffed41a18c04,"""Despicable Me"" Party Game Set, 10 Pc.",Toys & Games | Party Supplies,4.16,4.0
366ac2f0-3062-4a6b-baf6-a8732e467636,Disguise Women's Toad Female Costume,"Clothing, Shoes & Jewelry | Costumes & Accessories | Women | Costumes & Cosplay Apparel | Costumes",79.0,1.25
